4,21945.237299391418,21862.14167281855,Alphabet City,4
12,18684.10587704234,19551.510924947615,Battery Park,12
13,18640.70249763434,20561.176953359754,Battery Park City,13
24,22912.456401467207,30548.513021858133,Bloomingdale,24
41,24109.519867061055,30811.529358883185,Central Harlem,41
42,24996.17911257065,32358.26164777066,Central Harlem North,42
43,22906.89015611261,28383.77348211124,Central Park,43
45,20155.60063743405,20607.84508834029,Chinatown,45
48,20856.859002007695,26137.3541462867,Clinton East,48
50,20410.128482658125,26579.847623092035,Clinton West,50
68,20006.342927223188,24602.02849954499,East Chelsea,68
74,25286.607775133045,30460.836411741242,East Harlem North,74
75,24578.139549588726,29221.225933562848,East Harlem South,75
79,21187.40615565621,22291.519371598144,East Village,79
87,19365.942661475798,19980.354769527054,Financial District North,87
88,19026.254157377873,19597.216278796477,Financial District South,88
90,20255.193846153095,23919.224515374648,Flatiron,90
100,20946.34118029545,25166.816174417065,Garment District,100
103,18387.18036861415,17978.956597623954,Governor's Island/Ellis Island/Liberty Island,103
107,21346.491250021616,23313.618660251967,Gramercy,107
113,20480.50280190335,22842.116784748592,Greenwich Village North,113
114,20220.721907563275,22371.409314598837,Greenwich Village South,114
116,24341.79846383672,33330.12807191089,Hamilton Heights,116
120,25886.99615855096,35513.81215180663,Highbridge Park,120
125,19366.9850361782,22143.788371413793,Hudson Sq,125
127,26802.07490334229,37669.858393518996,Inwood,127
128,26374.765311447612,38369.533653289574,Inwood Hill Park,128
137,21984.750076339813,23715.1950656333,Kips Bay,137
140,23820.87969905947,26497.129190888896,Lenox Hill East,140
141,23407.429003686062,26659.51394314693,Lenox Hill West,141
142,21558.472870908736,27401.269926420617,Lincoln Square East,142
143,21042.337116971205,27660.139658388012,Lincoln Square West,143
144,20259.74446971959,21543.93287604708,Little Italy/NoLiTa,144
148,20768.576848705998,21327.364738961813,Lower East Side,148
151,22685.717267190455,30103.282081867044,Manhattan Valley,151
152,23898.59326706978,32326.268388431927,Manhattanville,152
153,27553.77237462357,38769.20233986953,Marble Hill,153
158,19240.497685374226,23114.89187964679,Meatpacking/West Village West,158
161,21882.614721642924,25668.40629784808,Midtown Center,161
162,22333.738100294722,25519.68048457274,Midtown East,162
163,21893.364848702564,26378.393770184848,Midtown North,163
164,21252.991631208977,24618.48179727191,Midtown South,164
166,23225.643154617166,31379.992430617916,Morningside Heights,166
170,21815.886097888113,24526.561110682356,Murray Hill,170
186,20638.077493423014,24609.811207419225,Penn Station/Madison Sq West,186
194,26363.42364404816,29332.464717732335,Randalls Island,194
202,24225.228186954395,26099.28226426957,Roosevelt Island,202
209,19689.737136187556,20231.779026455835,Seaport,209
211,19869.496409106418,21876.98815829932,SoHo,211
224,21976.314606157946,22758.142464032804,Stuy Town/Peter Cooper Village,224
229,22942.601319222653,25524.491824166304,Sutton Place/Turtle Bay North,229
230,21333.832702234795,25867.017801404363,Times Sq/Theatre District,230
231,19333.625782290997,21197.908722226115,TriBeCa/Civic Center,231
232,21433.754516138986,20860.414837218785,Two Bridges/Seward Park,232
233,22495.578155534517,24767.542044717193,UN/Turtle Bay South,233
234,20805.36337552691,23703.695796965127,Union Sq,234
236,23628.16188618081,28157.472089972114,Upper East Side North,236
237,22900.798427960428,26844.41632122826,Upper East Side South,237
238,22274.05060171499,29408.299504379553,Upper West Side North,238
239,21803.053479316877,28548.261835829515,Upper West Side South,239
243,25662.763217273285,36673.119304264255,Washington Heights North,243
244,24941.522007323743,34962.47562478822,Washington Heights South,244
246,19660.299670070177,25144.111544911313,West Chelsea/Hudson Yards,246
249,19756.54287281586,23063.853956964398,West Village,249
261,18898.923186749278,20239.200944511947,World Trade Center,261
262,24514.928205125907,27657.797360123877,Yorkville East,262
263,24134.901912703877,27972.225267200352,Yorkville West,263
