116,244
42,74
143,238
166,238
12,13
12,103
116,166
116,152
42,152
42,116
75,194
74,75
74,194
120,243
12,261
13,261
12,88
127,243
41,74
41,42
152,166
41,166
120,244
162,170
137,233
170,233
41,151
75,151
151,166
24,166
43,75
43,151
151,238
229,237
162,237
162,229
229,233
68,246
158,246
87,261
88,261
87,209
127,153
127,128
128,243
48,50
50,246
50,143
79,224
107,224
107,137
142,237
142,143
68,90
90,186
68,186
87,88
4,232
4,224
45,232
162,163
142,163
163,237
48,163
48,142
100,230
48,230
100,246
43,238
142,239
143,239
140,202
140,229
43,237
43,236
75,236
4,79
148,232
45,148
45,209
13,231
231,261
90,234
137,234
107,234
161,162
161,163
163,230
161,170
161,230
100,186
164,186
161,164
164,170
137,170
164,234
236,237
141,237
140,141
141,229
140,262
144,148
79,148
45,144
45,231
144,211
125,231
211,231
125,158
13,125
79,107
107,113
113,234
141,263
236,263
75,262
75,263
114,144
113,114
79,114
114,211
114,125
125,211
90,158
125,249
158,249
114,249
