239,239,0,1,0.4866666666666667
230,100,4,2,0.575
68,127,7,1,7.97
68,68,7,2,0.3383333333333333
50,42,8,1,2.776666666666667
211,211,1,1,0.29333333333333333
237,162,10,1,0.58
237,142,2,1,1.27
107,263,2,1,1.81
107,114,4,1,1.3
233,140,8,1,1.3266666666666667
114,224,2,3,1.8683333333333334
237,42,7,2,2.1166666666666667
249,158,0,1,1.4533333333333334
186,202,4,1,3.81
48,170,11,1,0.9066666666666666
140,74,11,1,2.2933333333333334
186,68,10,1,0.4533333333333333
48,239,2,1,2.1733333333333333
239,41,4,1,2.026666666666667
151,24,4,1,0.4066666666666667
234,229,2,3,1.39
239,236,7,1,0.6166666666666667
239,42,4,1,2.3933333333333335
238,236,0,1,1.56
125,249,5,2,0.6566666666666666
234,148,8,3,1.6333333333333333
148,142,11,2,3.87
229,141,7,1,1.2133333333333334
140,140,5,3,0.30666666666666664
79,48,1,1,2.54
144,148,5,5,1.1466666666666667
162,50,0,1,1.4866666666666666
170,137,11,1,1.1733333333333333
137,107,1,0,0.5366666666666666
249,211,1,2,0.4866666666666667
50,246,8,2,1.2
246,68,10,1,1.0066666666666666
75,75,4,3,0.14
142,43,2,1,0.72
236,140,6,1,0.56
230,142,9,1,0.65
163,163,11,2,0.68
164,230,3,6,2.65
48,141,6,8,2.32
137,114,0,1,1.3133333333333332
100,230,3,1,0.66
48,140,4,2,2.4433333333333334
263,262,7,1,0.7133333333333334
43,42,10,1,3.453333333333333
249,261,5,2,1.74
263,90,0,1,2.7466666666666666
234,229,7,1,1.3366666666666667
229,170,9,1,0.5966666666666667
239,243,4,2,3.27
79,141,5,0,3.683333333333333
231,113,8,2,0.9733333333333334
48,90,1,1,1.2266666666666666
48,229,6,1,2.3466666666666667
170,233,6,1,0.55
186,263,2,3,2.256666666666667
151,170,3,1,4.126666666666667
249,125,6,1,0.9133333333333333
236,75,0,1,1.0666666666666667
164,186,4,1,0.45
100,262,6,1,2.0033333333333334
263,75,0,0,0.8966666666666666
24,41,1,1,0.8533333333333334
238,186,5,1,2.5933333333333333
230,137,10,1,1.6233333333333333
239,141,0,3,1.1966666666666668
79,79,1,2,0.41833333333333333
163,79,1,1,3.3333333333333335
249,164,6,1,1.56
75,263,5,1,0.44333333333333336
144,68,3,1,1.7866666666666666
90,50,5,1,1.5366666666666666
68,68,1,2,0.45111111111111113
41,116,7,2,1.21
249,233,2,1,2.006666666666667
90,48,9,3,1.205
142,238,10,1,0.6366666666666667
148,141,0,1,1.5633333333333332
237,141,1,1,2.3266666666666667
234,113,0,2,0.9966666666666667
249,75,5,1,3.513333333333333
249,50,0,1,2.8666666666666667
186,161,9,3,1.4077777777777778
249,164,2,1,2.0033333333333334
249,68,8,1,1.4266666666666667
48,163,0,2,0.6633333333333333
48,116,2,4,2.63
232,144,0,3,0.9933333333333333
162,100,9,1,1.0
100,137,11,2,1.8633333333333333
113,233,9,1,1.43
113,234,3,1,1.7666666666666666
231,87,2,1,0.6766666666666666
137,113,3,2,1.2666666666666666
114,137,6,1,2.4633333333333334
50,170,0,1,1.5733333333333333
24,48,8,1,4.483333333333333
50,233,12,1,2.42
249,186,5,1,1.14
113,230,8,1,1.0533333333333332
230,143,10,1,1.4633333333333334
230,50,2,3,0.9266666666666666
230,262,5,3,2.986666666666667
